,학교명,도로명주소,경도,위도
79,문현고등학교,서울특별시 송파구 충민로 115,127.128729306,37.481381995
80,미림여자고등학교,서울특별시 관악구 호암로 546,126.933432207,37.466561665
81,미양고등학교,서울특별시 강북구 인수봉로 39,127.012068818,37.623764841
82,반포고등학교,서울특별시 서초구 고무래로 71,127.016511223,37.502701956
83,방산고등학교,서울특별시 송파구 오금로27길 18,127.120285879,37.508438057
84,배명고등학교,서울특별시 송파구 삼학사로 11,127.095049176,37.497962918
85,배문고등학교,서울특별시 용산구 효창원로 258,126.963929223,37.549888189
86,배재고등학교,서울특별시 강동구 고덕로 227,127.149423982,37.555517656
87,배화여자고등학교,서울특별시 종로구 필운대로1길 34,126.965248255,37.579297936
88,백암고등학교,서울특별시 양천구 신정로13길 16,126.843329462,37.510901786
89,보성고등학교,서울특별시 송파구 양재대로 1278,127.134737915,37.519848242
90,보성여자고등학교,서울특별시 용산구 신흥로3가길 66,126.984970196,37.542509216
91,보인고등학교,서울특별시 송파구 오금로49길 18,127.13951801,37.497569655
92,불암고등학교,서울특별시 노원구 중계로 155,127.0798969,37.648829827
93,삼각산고등학교,서울특별시 강북구 삼양로19길 40,127.020093046,37.616276943
94,삼성고등학교,서울특별시 관악구 신림로 41,126.943924767,37.469034282
95,상계고등학교,서울특별시 노원구 노해로 432,127.056053131,37.65166332
96,상명고등학교,서울특별시 노원구 덕릉로 553,127.067700889,37.649540523
97,상명대학교사범대학부속여자고등학교,서울특별시 종로구 홍지문2길 20,126.955792515,37.604224646
98,상문고등학교,서울특별시 서초구 명달로 45,127.0041982,37.479661826
99,상암고등학교,서울특별시 마포구 월드컵북로 445,126.883394468,37.581341378
100,상일여자고등학교,서울특별시 강동구 천호대로219길 61,127.169666278,37.549550831
101,서라벌고등학교,서울특별시 노원구 한글비석로5길 18,127.075912313,37.645206862
102,서문여자고등학교,서울특별시 서초구 동광로12길 84,126.98483076,37.488210459
103,서울고등학교,서울특별시 서초구 효령로 197,127.004792126,37.484484552
104,서울대학교사범대학부설고등학교,서울특별시 성북구 월곡로 6,127.038472953,37.592408166
105,서울문영여자고등학교,서울특별시 관악구 관악로 85,126.951213313,37.473512396
106,서울미술고등학교,서울특별시 관악구 남부순환로247길 26,126.967104547,37.476705253
107,서울세종고등학교,서울특별시 강남구 광평로51길 36,127.102606878,37.490379564
108,서울여자고등학교,서울특별시 마포구 백범로25길 34,126.947798915,37.547252073
109,서초고등학교,서울특별시 서초구 반포대로27길 29,127.005984764,37.489123636
110,석관고등학교,서울특별시 성북구 한천로70길 30,127.066765914,37.610107997
111,선덕고등학교,서울특별시 도봉구 시루봉로 53,127.025984692,37.655478557
112,선사고등학교,서울특별시 강동구 고덕로25길 17,127.13639658,37.556511846
113,선유고등학교,서울특별시 영등포구 선유로 227,126.894895332,37.533879038
114,선일여자고등학교,서울특별시 은평구 갈현로29길 27,126.912500111,37.61893701
115,선정고등학교,서울특별시 은평구 서오릉로20길 19,126.908989998,37.618465822
116,성남고등학교,서울특별시 동작구 대방동길 74,126.92632556,37.50607119
117,성덕고등학교,서울특별시 강동구 구천면로 396,127.142640972,37.549125092
118,성동고등학교,서울특별시 중구 퇴계로90길 17,127.02308725,37.56425365
119,성보고등학교,서울특별시 관악구 남부순환로156길 39,126.920655607,37.479831395
120,성수고등학교,서울특별시 성동구 서울숲길 18,127.038579435,37.547790525
121,성신여자고등학교,서울특별시 성북구 동소문로26가길 80,127.022406821,37.594291375
122,성심여자고등학교,서울특별시 용산구 원효로19길 49,126.953122518,37.534976353
123,세현고등학교,서울특별시 강서구 허준로 227,126.863532003,37.560404578
124,세화고등학교,서울특별시 서초구 신반포로 56-7,126.993385647,37.502237769
125,세화여자고등학교,서울특별시 서초구 신반포로 56-7,126.993385647,37.502237769
126,송곡고등학교,서울특별시 중랑구 양원역로 50,127.106481062,37.605466048
127,송곡여자고등학교,서울특별시 중랑구 양원역로 67,127.105377872,37.606580697
128,수도여자고등학교,서울특별시 동작구 여의대방로10길 73,126.914970493,37.49318472
129,수락고등학교,서울특별시 노원구 동일로245길 143,127.05295324,37.682947325
130,수명고등학교,서울특별시 강서구 수명로2길 15,126.824560674,37.549787073
131,숙명여자고등학교,서울특별시 강남구 남부순환로 2807,127.053800276,37.490634256
132,숭문고등학교,서울특별시 마포구 숭문길 99,126.944885761,37.550793791
133,숭실고등학교,서울특별시 은평구 은평터널로7길 6,126.905716758,37.593358866
134,숭의여자고등학교,서울특별시 동작구 여의대방로36길 79,126.928921066,37.508301092
135,신광여자고등학교,서울특별시 용산구 청파로 263,126.969418405,37.542995879
136,신도고등학교,서울특별시 은평구 통일로 961,126.918695736,37.629697396
137,신도림고등학교,서울특별시 구로구 경인로67길 159,126.881948232,37.514028022
138,신림고등학교,서울특별시 관악구 문성로 119,126.91661349,37.478317017
139,신목고등학교,서울특별시 양천구 안양천로 739,126.873561526,37.512767532
140,신서고등학교,서울특별시 양천구 은행정로 42,126.860204633,37.523878822
141,신일고등학교,서울특별시 강북구 솔매로49길 20,127.028403146,37.627966558
142,신현고등학교,서울특별시 중랑구 봉화산로 174,127.093026907,37.605154262
143,압구정고등학교,서울특별시 강남구 압구정로39길 20,127.032267154,37.531071816
144,양재고등학교,서울특별시 서초구 남부순환로346길 9,127.03358996,37.483301017
145,양정고등학교,서울특별시 양천구 안양천로 1039,126.886709155,37.533339415
146,양천고등학교,서울특별시 양천구 신정로14길 13,126.845831389,37.509196107
147,언남고등학교,서울 서초구 동산로13길 35,127.043390144,37.472318758
148,여의도고등학교,서울특별시 영등포구 국제금융로7길 37,126.933212806,37.525557697
149,여의도여자고등학교,서울특별시 영등포구 국제금융로7가길 13,126.9348579,37.52295425
150,염광고등학교,서울특별시 노원구 월계로45가길 9,127.050232429,37.628394633
151,영동고등학교,서울특별시 강남구 선릉로 742,127.043152467,37.521462988
152,영동일고등학교,서울특별시 송파구 석촌호수로 93,127.089443615,37.509974426
153,영등포고등학교,서울특별시 동작구 등용로8길 5,126.934003187,37.508985914
154,영등포여자고등학교,서울특별시 영등포구 영등포로62길 13,126.915435523,37.515352157
155,영락고등학교,서울특별시 관악구 청룡16길 25,126.945422378,37.476594001
156,영신고등학교,서울 영등포구 대방천로14길 18,126.910102848,37.497518198
157,영신여자고등학교,서울특별시 노원구 중계로16나길 13,127.083232423,37.652570183
158,영일고등학교,서울특별시 강서구 등촌로51가길 26,126.861427195,37.547410922
159,영파여자고등학교,서울특별시 송파구 올림픽로 565,127.120480233,37.533145167
160,영훈고등학교,서울특별시 강북구 도봉로13가길 19,127.028093194,37.614682226
161,예일여자고등학교,서울특별시 은평구 연서로 117,126.914794713,37.610654384
162,오금고등학교,서울특별시 송파구 중대로 247,127.129301092,37.504733927
163,오류고등학교,서울특별시 구로구 오리로21길 2,126.828540419,37.499782977
164,오산고등학교,서울특별시 용산구 보광로7길 17,127.000319224,37.525701605
165,용문고등학교,서울특별시 성북구 고려대로17가길 46,127.024863855,37.588528178
166,용산고등학교,서울특별시 용산구 두텁바위로 60,126.978808962,37.545407808
167,용화여자고등학교,서울특별시 노원구 동일로 1461,127.059022174,37.658958758
168,우신고등학교,서울특별시 구로구 부일로 917,126.827993266,37.494381717
169,원묵고등학교,서울특별시 중랑구 숙선옹주로 82,127.085505648,37.615237954
170,월계고등학교,서울특별시 노원구 초안산로5길 66,127.048389837,37.631679947
171,은광여자고등학교,서울특별시 강남구 남부순환로359길 36,127.035781742,37.488136207
172,은평고등학교,서울특별시 은평구 갈현로15길 47,126.905652477,37.609014858
173,이화여자고등학교,서울특별시 중구 정동길,126.970085388,37.566814559
174,이화여자대학교사범대학부속이화금란고등학교,서울특별시 서대문구 성산로 560,126.947355878,37.566388522
175,인창고등학교,서울특별시 서대문구 경기대로 65,126.963516648,37.565416907
176,인헌고등학교,서울특별시 관악구 인헌9길 74,126.970253007,37.471081258
177,자양고등학교,서울특별시 광진구 뚝섬로37길 28,127.073333628,37.536079831
178,자운고등학교,서울특별시 도봉구 노해로69길 150,127.050680562,37.65946701
179,잠신고등학교,서울특별시 송파구 잠실로 24,127.089516822,37.515454027
180,잠실고등학교,서울특별시 송파구 올림픽로33길 71,127.105254487,37.522689758
181,잠실여자고등학교,서울특별시 송파구 송파대로38길 8,127.114213375,37.501837943
182,잠일고등학교,서울특별시 송파구 백제고분로 21,127.08284978,37.51453655
183,장충고등학교,서울특별시 중구 동호로15길 93,127.007330198,37.553640022
184,장훈고등학교,서울특별시 영등포구 영등포로64길 26,126.915249751,37.513366033
185,재현고등학교,서울특별시 노원구 덕릉로82길 64,127.079466659,37.660413267
186,정신여자고등학교,서울특별시 송파구 올림픽로4길 16,127.072119239,37.508810661
187,정의여자고등학교,서울특별시 도봉구 노해로49길 69,127.032564974,37.652594815
188,중경고등학교,서울특별시 용산구 이촌로84길 34,126.976281982,37.51749382
189,중동고등학교,서울특별시 강남구 일원로 7,127.080231968,37.493359613
190,중산고등학교,서울특별시 강남구 일원로14길 22,127.080619468,37.48563762
191,중앙고등학교,서울특별시 종로구 창덕궁길 164,126.987338249,37.584512558
192,중앙대학교사범대학부속고등학교,서울특별시 강남구 선릉로 207,127.051690165,37.491842694
193,중앙여자고등학교,서울특별시 서대문구 북아현로11가길 7,126.954050456,37.563199408
194,중화고등학교,서울특별시 중랑구 봉화산로27길 62,127.083501302,37.60522368
195,진관고등학교,서울특별시 은평구 진관4로 26,126.923961438,37.643385735
196,진명여자고등학교,서울특별시 양천구 목동로 170,126.86546497,37.524084207
197,진선여자고등학교,서울특별시 강남구 선릉로85길 27,127.048966612,37.501890527
198,창덕여자고등학교,서울특별시 송파구 양재대로 1240,127.140231839,37.516274383
199,창동고등학교,서울특별시 도봉구 노해로62길 7,127.038947227,37.651039981
200,창문여자고등학교,서울특별시 강북구 월계로 61,127.036913502,37.613443323
201,청담고등학교,서울특별시 강남구 압구정로 419,127.043006325,37.52793994
202,청량고등학교,서울특별시 동대문구 왕산로 303,127.050613928,37.58908425
203,청원고등학교,서울특별시 노원구 한글비석로 506,127.061023522,37.666252364
204,청원여자고등학교,서울특별시 노원구 한글비석로 506,127.061023522,37.666252364
205,충암고등학교,서울특별시 은평구 가좌로5길 5,126.921108584,37.58484325
206,태릉고등학교,서울특별시 중랑구 신내로23길 36,127.084634479,37.618638783
207,풍문고등학교,서울특별시 강남구 자곡로 152,127.101431439,37.471369001
208,하나고등학교,서울특별시 은평구 연서로 535,126.936919361,37.641601809
209,한가람고등학교,서울특별시 양천구 목동서로 15,126.88409173,37.537445372
210,한광고등학교,서울특별시 강서구 등촌로13길 110,126.857868473,37.538798642
211,한국삼육고등학교,서울특별시 노원구 화랑로 815,127.105672981,37.644751487
212,한서고등학교,서울특별시 강서구 양천로11길 47,126.807764188,37.57466505
213,한성고등학교,서울특별시 서대문구 북아현로1길 24,126.954611972,37.559953782
214,한성여자고등학교,서울특별시 성북구 삼선교로16길 117,127.012007666,37.583123335
215,한양대학교사범대학부속고등학교,서울특별시 성동구 마조로 42,127.04373141,37.561513999
216,한영고등학교,서울특별시 강동구 동남로 832,127.156922504,37.549083011
217,해성여자고등학교,서울특별시 동대문구 전농로20길 31,127.056968065,37.58186273
218,현대고등학교,서울특별시 강남구 압구정로 127,127.022375225,37.525477827
219,혜성여자고등학교,서울특별시 노원구 노원로16길 2,127.073037406,37.641069764
220,혜원여자고등학교,서울특별시 중랑구 봉우재로58길 39,127.09704085,37.593279844
221,혜화여자고등학교,서울특별시 강북구 인수봉로 127,127.012356124,37.631303781
222,홍익대학교사범대학부속고등학교,서울특별시 성북구 성북로14가길 23,127.002589491,37.595545046
223,홍익대학교사범대학부속여자고등학교,서울특별시 마포구 성미산로 51,126.912726198,37.560274522
224,화곡고등학교,서울특별시 강서구 강서로45길 69,126.831965951,37.548435153
225,환일고등학교,서울특별시 중구 환일길 47,126.961815996,37.552811628
226,효문고등학교,서울특별시 도봉구 우이천로 432,127.018364912,37.652627836
227,휘경여자고등학교,서울특별시 동대문구 한천로 247,127.067439662,37.584113465
228,휘문고등학교,서울특별시 강남구 역삼로 541,127.062909633,37.50467645
229,휘봉고등학교,서울특별시 동대문구 한천로 290,127.068940675,37.586372227
