학교명,도로명주소
성신여자고등학교,서울특별시 성북구 동소문로26가길 80
성심여자고등학교,서울특별시 용산구 원효로19길 49
세현고등학교,서울특별시 강서구 허준로 227
세화고등학교,서울특별시 서초구 신반포로 56-7
세화여자고등학교,서울특별시 서초구 신반포로 56-7
송곡고등학교,서울특별시 중랑구 양원역로 50
송곡여자고등학교,서울특별시 중랑구 양원역로 67
수도여자고등학교,서울특별시 동작구 여의대방로10길 73
수락고등학교,서울특별시 노원구 동일로245길 143
수명고등학교,서울특별시 강서구 수명로2길 15
숙명여자고등학교,서울특별시 강남구 남부순환로 2807
숭문고등학교,서울특별시 마포구 숭문길 99
숭실고등학교,서울특별시 은평구 은평터널로7길 6
숭의여자고등학교,서울특별시 동작구 여의대방로36길 79
신광여자고등학교,서울특별시 용산구 청파로 263
신도고등학교,서울특별시 은평구 통일로 961
신도림고등학교,서울특별시 구로구 경인로67길 159
신림고등학교,서울특별시 관악구 문성로 119
신목고등학교,서울특별시 양천구 안양천로 739
신서고등학교,서울특별시 양천구 은행정로 42
신일고등학교,서울특별시 강북구 솔매로49길 20
신현고등학교,서울특별시 중랑구 봉화산로 174
압구정고등학교,서울특별시 강남구 압구정로39길 20
양재고등학교,서울특별시 서초구 남부순환로346길 9
양정고등학교,서울특별시 양천구 안양천로 1039
양천고등학교,서울특별시 양천구 신정로14길 13
언남고등학교,서울 서초구 동산로13길 35
여의도고등학교,서울특별시 영등포구 국제금융로7길 37
여의도여자고등학교,서울특별시 영등포구 국제금융로7가길 13
염광고등학교,서울특별시 노원구 월계로45가길 9
영동고등학교,서울특별시 강남구 선릉로 742
영동일고등학교,서울특별시 송파구 석촌호수로 93
영등포고등학교,서울특별시 동작구 등용로8길 5
영등포여자고등학교,서울특별시 영등포구 영등포로62길 13
영락고등학교,서울특별시 관악구 청룡16길 25
영신고등학교,서울 영등포구 대방천로14길 18
영신여자고등학교,서울특별시 노원구 중계로16나길 13
영일고등학교,서울특별시 강서구 등촌로51가길 26
영파여자고등학교,서울특별시 송파구 올림픽로 565
영훈고등학교,서울특별시 강북구 도봉로13가길 19
예일여자고등학교,서울특별시 은평구 연서로 117
오금고등학교,서울특별시 송파구 중대로 247
오류고등학교,서울특별시 구로구 오리로21길 2
오산고등학교,서울특별시 용산구 보광로7길 17
용문고등학교,서울특별시 성북구 고려대로17가길 46
용산고등학교,서울특별시 용산구 두텁바위로 60
용화여자고등학교,서울특별시 노원구 동일로 1461
우신고등학교,서울특별시 구로구 부일로 917
원묵고등학교,서울특별시 중랑구 숙선옹주로 82
월계고등학교,서울특별시 노원구 초안산로5길 66
은광여자고등학교,서울특별시 강남구 남부순환로359길 36
은평고등학교,서울특별시 은평구 갈현로15길 47
이화여자고등학교,서울특별시 중구 정동길
이화여자대학교사범대학부속이화금란고등학교,서울특별시 서대문구 성산로 560
인창고등학교,서울특별시 서대문구 경기대로 65
인헌고등학교,서울특별시 관악구 인헌9길 74
자양고등학교,서울특별시 광진구 뚝섬로37길 28
자운고등학교,서울특별시 도봉구 노해로69길 150
잠신고등학교,서울특별시 송파구 잠실로 24
잠실고등학교,서울특별시 송파구 올림픽로33길 71
잠실여자고등학교,서울특별시 송파구 송파대로38길 8
잠일고등학교,서울특별시 송파구 백제고분로 21
장충고등학교,서울특별시 중구 동호로15길 93
장훈고등학교,서울특별시 영등포구 영등포로64길 26
재현고등학교,서울특별시 노원구 덕릉로82길 64
정신여자고등학교,서울특별시 송파구 올림픽로4길 16
정의여자고등학교,서울특별시 도봉구 노해로49길 69
중경고등학교,서울특별시 용산구 이촌로84길 34
중동고등학교,서울특별시 강남구 일원로 7
중산고등학교,서울특별시 강남구 일원로14길 22
중앙고등학교,서울특별시 종로구 창덕궁길 164
중앙대학교사범대학부속고등학교,서울특별시 강남구 선릉로 207
중앙여자고등학교,서울특별시 서대문구 북아현로11가길 7
중화고등학교,서울특별시 중랑구 봉화산로27길 62
진관고등학교,서울특별시 은평구 진관4로 26
진명여자고등학교,서울특별시 양천구 목동로 170
진선여자고등학교,서울특별시 강남구 선릉로85길 27
창덕여자고등학교,서울특별시 송파구 양재대로 1240
창동고등학교,서울특별시 도봉구 노해로62길 7
창문여자고등학교,서울특별시 강북구 월계로 61
청담고등학교,서울특별시 강남구 압구정로 419
청량고등학교,서울특별시 동대문구 왕산로 303
청원고등학교,서울특별시 노원구 한글비석로 506
청원여자고등학교,서울특별시 노원구 한글비석로 506
충암고등학교,서울특별시 은평구 가좌로5길 5
태릉고등학교,서울특별시 중랑구 신내로23길 36
풍문고등학교,서울특별시 강남구 자곡로 152
하나고등학교,서울특별시 은평구 연서로 535
한가람고등학교,서울특별시 양천구 목동서로 15
한광고등학교,서울특별시 강서구 등촌로13길 110
한국삼육고등학교,서울특별시 노원구 화랑로 815
한서고등학교,서울특별시 강서구 양천로11길 47
한성고등학교,서울특별시 서대문구 북아현로1길 24
한성여자고등학교,서울특별시 성북구 삼선교로16길 117
한양대학교사범대학부속고등학교,서울특별시 성동구 마조로 42
한영고등학교,서울특별시 강동구 동남로 832
해성여자고등학교,서울특별시 동대문구 전농로20길 31
현대고등학교,서울특별시 강남구 압구정로 127
혜성여자고등학교,서울특별시 노원구 노원로16길 2
