학교명,지원학과
서울대학교사범대학부설고등학교,실용음악-건반(작곡)
서울대학교사범대학부설고등학교,실용음악-베이스기타
서울대학교사범대학부설고등학교,실용음악-보컬
서울문영여자고등학교,실용음악-보컬
서울여자고등학교,미용예술
서울여자고등학교,미용예술
서울여자고등학교,제과제빵
서초고등학교,실용음악-보컬
서초고등학교,연극영화-연극
서초고등학교,연극영화-영화
석관고등학교,e스포츠-리그오브레전드(LOL)
석관고등학교,만화애니메이션
석관고등학교,실용음악-베이스기타
석관고등학교,실용음악-일렉기타
석관고등학교,패션디자인
선사고등학교,관광서비스
선사고등학교,관광서비스
선사고등학교,관광서비스
선사고등학교,미용예술
선사고등학교,실용음악-드럼
선사고등학교,연극영화-연극
선사고등학교,패션디자인
선사고등학교,패션디자인
선사고등학교,패션디자인
선사고등학교,한양식조리
선사고등학교,한양식조리
선유고등학교,만화애니메이션
선유고등학교,실용음악-건반(작곡)
선유고등학교,실용음악-보컬
선유고등학교,제과제빵
선일여자고등학교,미용예술
선일여자고등학교,실용음악-건반(작곡)
선일여자고등학교,실용음악-댄스
선정고등학교,e스포츠-리그오브레전드(LOL)
선정고등학교,e스포츠-리그오브레전드(LOL)
선정고등학교,관광서비스
선정고등학교,관광서비스
선정고등학교,미용예술
선정고등학교,인테리어디자인
선정고등학교,인테리어디자인
선정고등학교,제과제빵
선정고등학교,카페플라워
선정고등학교,카페플라워
성남고등학교,e스포츠-리그오브레전드(LOL)
성남고등학교,관광서비스
성남고등학교,관광서비스
성남고등학교,실용음악-일렉기타
성남고등학교,패션디자인
성덕고등학교,미용예술
성덕고등학교,미용예술
성덕고등학교,한양식조리
성동고등학교,패션디자인
성보고등학교,카페플라워
성수고등학교,게임제작
성신여자고등학교,관광서비스
성신여자고등학교,미용예술
성신여자고등학교,연극영화-연극
세현고등학교,실용음악-드럼
세현고등학교,제과제빵
세현고등학교,한양식조리
송곡여자고등학교,관광서비스
송곡여자고등학교,디지털시각디자인
송곡여자고등학교,미용예술
송곡여자고등학교,패션디자인
수도여자고등학교,실용음악-댄스
수도여자고등학교,콘텐츠크리에이터
수락고등학교,디지털시각디자인
수락고등학교,만화애니메이션
수락고등학교,실용음악-보컬
숭문고등학교,게임제작
숭실고등학교,실용음악-베이스기타
숭실고등학교,한양식조리
숭의여자고등학교,관광서비스
숭의여자고등학교,미용예술
숭의여자고등학교,제과제빵
신광여자고등학교,제과제빵
신도고등학교,제과제빵
신도고등학교,패션디자인
신도고등학교,패션디자인
신도림고등학교,패션디자인
신림고등학교,관광서비스
신림고등학교,미용예술
신림고등학교,미용예술
신목고등학교,미용예술
신서고등학교,실용음악-베이스기타
신서고등학교,실용음악-보컬
신서고등학교,제과제빵
신서고등학교,한양식조리
신현고등학교,관광서비스
신현고등학교,실용음악-건반(작곡)
신현고등학교,한양식조리
압구정고등학교,디지털시각디자인
양재고등학교,실용음악-드럼
양천고등학교,인테리어디자인
양천고등학교,패션디자인
여의도고등학교,관광서비스
여의도고등학교,관광서비스
여의도고등학교,미용예술
여의도고등학교,미용예술
여의도고등학교,실용음악-건반(작곡)
여의도고등학교,한양식조리
여의도여자고등학교,디지털시각디자인
여의도여자고등학교,디지털시각디자인
여의도여자고등학교,제과제빵
염광고등학교,연극영화-연극
염광고등학교,연극영화-연극
영동일고등학교,만화애니메이션
영동일고등학교,실용음악-베이스기타
