,학교명,지원학과
0,대신고등학교,전기과
1,동국대학교사범대학부속고등학교,전기과
2,면목고등학교,전기과
3,선정고등학교,전기과
4,영일고등학교,전기과
5,진관고등학교,전기과
6,진관고등학교,전기과
7,효문고등학교,전기과
