,학교명,지원학과
0,강동고등학교,만화애니메이션
1,경복고등학교,만화애니메이션
2,경희여자고등학교,만화애니메이션
3,광영고등학교,만화애니메이션
4,구로고등학교,만화애니메이션
5,대성고등학교,만화애니메이션
6,대일고등학교,만화애니메이션
7,덕원여자고등학교,만화애니메이션
8,동국대학교사범대학부속고등학교,만화애니메이션
9,명지고등학교,만화애니메이션
10,상암고등학교,만화애니메이션
11,석관고등학교,만화애니메이션
12,선유고등학교,만화애니메이션
13,수락고등학교,만화애니메이션
14,영동일고등학교,만화애니메이션
15,창동고등학교,만화애니메이션
16,한서고등학교,만화애니메이션
17,혜화여자고등학교,만화애니메이션
