,학교명,지원학과
0,개포고등학교,외식조리과
1,건국대학교사범대학부속고등학교,외식조리과
2,대일고등학교,외식조리과
3,동북고등학교,외식조리과
4,문정고등학교,외식조리과
5,서울세종고등학교,외식조리과
6,영파여자고등학교,외식조리과
7,오금고등학교,외식조리과
8,오금고등학교,외식조리과
9,오산고등학교,외식조리과
10,은광여자고등학교,외식조리과
11,중앙대학교사범대학부속고등학교,외식조리과
12,중앙대학교사범대학부속고등학교,외식조리과
13,풍문고등학교,외식조리과
