,학교명,지원학과
0,강서고등학교,웹툰만화콘텐츠과
1,경동고등학교,웹툰만화콘텐츠과
2,금호고등학교,웹툰만화콘텐츠과
3,동국대학교사범대학부속고등학교,웹툰만화콘텐츠과
4,둔촌고등학교,웹툰만화콘텐츠과
5,불암고등학교,웹툰만화콘텐츠과
6,상명고등학교,웹툰만화콘텐츠과
7,상명대학교사범대학부속여자고등학교,웹툰만화콘텐츠과
8,성동고등학교,웹툰만화콘텐츠과
9,압구정고등학교,웹툰만화콘텐츠과
10,혜화여자고등학교,웹툰만화콘텐츠과
11,휘봉고등학교,웹툰만화콘텐츠과
