,학교명,도로명주소,경도,위도
99,상암고등학교,서울특별시 마포구 월드컵북로 445,0,0
100,상일여자고등학교,서울특별시 강동구 천호대로219길 61,0,0
101,서라벌고등학교,서울특별시 노원구 한글비석로5길 18,0,0
102,서문여자고등학교,서울특별시 서초구 동광로12길 84,0,0
103,서울고등학교,서울특별시 서초구 효령로 197,0,0
104,서울대학교사범대학부설고등학교,서울특별시 성북구 월곡로 6,0,0
105,서울문영여자고등학교,서울특별시 관악구 관악로 85,0,0
106,서울미술고등학교,서울특별시 관악구 남부순환로247길 26,0,0
107,서울세종고등학교,서울특별시 강남구 광평로51길 36,0,0
108,서울여자고등학교,서울특별시 마포구 백범로25길 34,0,0
109,서초고등학교,서울특별시 서초구 반포대로27길 29,0,0
110,석관고등학교,서울특별시 성북구 한천로70길 30,0,0
111,선덕고등학교,서울특별시 도봉구 시루봉로 53,0,0
112,선사고등학교,서울특별시 강동구 고덕로25길 17,0,0
113,선유고등학교,서울특별시 영등포구 선유로 227,0,0
114,선일여자고등학교,서울특별시 은평구 갈현로29길 27,0,0
115,선정고등학교,서울특별시 은평구 서오릉로20길 19,0,0
116,성남고등학교,서울특별시 동작구 대방동길 74,0,0
117,성덕고등학교,서울특별시 강동구 구천면로 396,0,0
118,성동고등학교,서울특별시 중구 퇴계로90길 17,0,0
119,성보고등학교,서울특별시 관악구 남부순환로156길 39,0,0
120,성수고등학교,서울특별시 성동구 서울숲길 18,0,0
121,성신여자고등학교,서울특별시 성북구 동소문로26가길 80,0,0
122,성심여자고등학교,서울특별시 용산구 원효로19길 49,0,0
123,세현고등학교,서울특별시 강서구 허준로 227,0,0
124,세화고등학교,서울특별시 서초구 신반포로 56-7,0,0
125,세화여자고등학교,서울특별시 서초구 신반포로 56-7,0,0
126,송곡고등학교,서울특별시 중랑구 양원역로 50,0,0
127,송곡여자고등학교,서울특별시 중랑구 양원역로 67,0,0
128,수도여자고등학교,서울특별시 동작구 여의대방로10길 73,0,0
129,수락고등학교,서울특별시 노원구 동일로245길 143,0,0
130,수명고등학교,서울특별시 강서구 수명로2길 15,0,0
131,숙명여자고등학교,서울특별시 강남구 남부순환로 2807,0,0
132,숭문고등학교,서울특별시 마포구 숭문길 99,0,0
133,숭실고등학교,서울특별시 은평구 은평터널로7길 6,0,0
134,숭의여자고등학교,서울특별시 동작구 여의대방로36길 79,0,0
135,신광여자고등학교,서울특별시 용산구 청파로 263,0,0
136,신도고등학교,서울특별시 은평구 통일로 961,0,0
137,신도림고등학교,서울특별시 구로구 경인로67길 159,0,0
138,신림고등학교,서울특별시 관악구 문성로 119,0,0
139,신목고등학교,서울특별시 양천구 안양천로 739,0,0
140,신서고등학교,서울특별시 양천구 은행정로 42,0,0
141,신일고등학교,서울특별시 강북구 솔매로49길 20,0,0
142,신현고등학교,서울특별시 중랑구 봉화산로 174,0,0
143,압구정고등학교,서울특별시 강남구 압구정로39길 20,0,0
144,양재고등학교,서울특별시 서초구 남부순환로346길 9,0,0
145,양정고등학교,서울특별시 양천구 안양천로 1039,0,0
146,양천고등학교,서울특별시 양천구 신정로14길 13,0,0
147,언남고등학교,서울 서초구 동산로13길 35,0,0
148,여의도고등학교,서울특별시 영등포구 국제금융로7길 37,0,0
149,여의도여자고등학교,서울특별시 영등포구 국제금융로7가길 13,0,0
150,염광고등학교,서울특별시 노원구 월계로45가길 9,0,0
151,영동고등학교,서울특별시 강남구 선릉로 742,0,0
152,영동일고등학교,서울특별시 송파구 석촌호수로 93,0,0
153,영등포고등학교,서울특별시 동작구 등용로8길 5,0,0
154,영등포여자고등학교,서울특별시 영등포구 영등포로62길 13,0,0
155,영락고등학교,서울특별시 관악구 청룡16길 25,0,0
156,영신고등학교,서울 영등포구 대방천로14길 18,0,0
157,영신여자고등학교,서울특별시 노원구 중계로16나길 13,0,0
158,영일고등학교,서울특별시 강서구 등촌로51가길 26,0,0
159,영파여자고등학교,서울특별시 송파구 올림픽로 565,0,0
160,영훈고등학교,서울특별시 강북구 도봉로13가길 19,0,0
161,예일여자고등학교,서울특별시 은평구 연서로 117,0,0
162,오금고등학교,서울특별시 송파구 중대로 247,0,0
163,오류고등학교,서울특별시 구로구 오리로21길 2,0,0
164,오산고등학교,서울특별시 용산구 보광로7길 17,0,0
165,용문고등학교,서울특별시 성북구 고려대로17가길 46,0,0
166,용산고등학교,서울특별시 용산구 두텁바위로 60,0,0
167,용화여자고등학교,서울특별시 노원구 동일로 1461,0,0
168,우신고등학교,서울특별시 구로구 부일로 917,0,0
169,원묵고등학교,서울특별시 중랑구 숙선옹주로 82,0,0
